,OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST
128916,128917,12240722732100129960,12,0,54,0,2024,7,19,2,3,0,7,0,0,1,0,0,0,0,0,"777758,899699999950826","5812381,053400000557303",13.082526620000067,52.391073395000035,1
128958,128959,12240720732102130540,12,0,54,0,2024,7,15,7,3,4,6,0,0,1,0,0,0,0,0,"774926,237300000153482","5818559,507200000807643",13.046081935000075,52.447910258000036,1
128996,128997,12240718732100126040,12,0,54,0,2024,7,9,5,3,5,2,0,0,1,1,0,0,0,0,"776951,831000000238419","5811885,134800000116229",13.070287017000055,52.38703479600008,1
129009,129010,12240717732108123930,12,0,54,0,2024,7,8,4,3,5,2,0,0,1,0,0,0,0,1,"774286,074500000104308","5812118,891699999570847",13.031406149000077,52.39047225300004,1
129010,129011,12240717732103124160,12,0,54,0,2024,7,11,4,3,8,7,0,0,1,0,0,0,0,0,"772563,119900000281632","5815341,312999999150634",13.008772918000034,52.42023200400007,1
129044,129045,12240715732100114290,12,0,54,0,2024,7,7,2,3,4,6,0,0,1,0,0,0,0,1,"778278,161899999715388","5810383,230000000447035",13.088479749000044,52.372894451000036,1
129067,129068,12240714732112117550,12,0,54,0,2024,7,13,1,3,5,2,0,0,1,1,0,0,0,0,"776613,688799999654293","5812174,572100000455976",13.065569871000037,52.38980121700007,1
129068,129069,12240714732103117420,12,0,54,0,2024,7,11,1,1,5,3,0,0,1,0,0,1,0,0,"770564,631500000134110","5818442,643699999898672",12.981967334000046,52.44903835400004,1
129207,129208,12240724732103138360,12,0,54,0,2024,7,13,4,2,5,2,0,0,1,1,0,0,0,0,"772840,341599999926984","5815253,827700000256300",13.012768013000027,52.41930926100008,1
129211,129212,12240708732107104300,12,0,54,0,2024,7,9,2,3,5,2,0,0,1,0,0,0,0,1,"774451,080500000156462","5812279,297599999234080",13.033956216000036,52.39182814000003,1
129281,129282,12240705732112128100,12,0,54,0,2024,7,15,6,3,6,4,0,0,1,0,1,0,0,0,"776246,519299999810755","5812109,423100000247359",13.060134363000031,52.389402250000046,1
243674,243675,12240223732122825190,12,0,54,0,2024,2,15,6,3,5,3,0,0,1,0,0,0,0,1,"778420,329800000414252","5812507,922599999234080",13.092326901000035,52.391875310000046,1
243686,243687,12240222732110819740,12,0,54,0,2024,2,8,5,3,0,7,0,1,1,0,0,0,0,0,"776007,711600000038743","5813828,101299999281764",13.058049985000025,52.404935376000026,1
243751,243752,12240210732107795560,12,0,54,0,2024,2,11,7,3,0,7,0,1,1,0,0,0,0,0,"775277,257899999618530","5813111,710200000554323",13.046750677000034,52.39887859100003,1
243768,243769,12240207732109797880,12,0,54,0,2024,2,11,4,3,5,3,0,0,1,1,0,0,0,0,"775389,853400000371039","5813019,259500000625849",13.048325417000058,52.397992894000026,1
243788,243789,12240203732107791540,12,0,54,0,2024,2,8,7,3,5,3,0,0,1,1,0,0,0,0,"774802,112200000323355","5812657,458100000396371",13.039411990000076,52.39504349500004,1
243814,243815,12240129732123782010,12,0,54,0,2024,1,19,2,3,3,2,2,0,1,0,0,0,0,1,"779729,834800000302494","5811870,006300000473857",13.110988486000053,52.38548784800008,1
243833,243834,12240124732128773080,12,0,54,0,2024,1,9,4,3,5,2,0,0,1,1,0,0,0,0,"778326,913399999961257","5810470,453999999910593",13.089266391000024,52.37365187900008,1
